term,E,P,A,E2,P2,A2
resigned,-1.02,-1.1,-1.28,-1.02,-1.1,-1.28
resourceful,3,2.4,0.59,3,2.4,0.59
respectful,3.4,2.48,-0.79,3.4,2.48,-0.79
responsible,3.4,2.97,-0.01,3.4,2.97,-0.01
restless,-1.27,-0.62,0.78,-1.27,-0.62,0.78
revengeful,-2.45,0.77,0.78,-2.45,0.77,0.78
reverent,1.19,1.05,-0.62,1.19,1.05,-0.62
rich,2,2.87,1.63,2,2.87,1.63
rigid,-0.82,0.03,-0.81,-0.82,0.03,-0.81
romantic,2.68,2.03,0.03,2.68,2.03,0.03
rude,-3.05,-0.29,1.9,-3.05,-0.29,1.9
